City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,rothesay,55.8365,-5.0551,285.18,78,100,3.45,GB,1680979068
242,ambilobe,-13.2,49.05,296.87,92,5,1.66,MG,1680979068
243,mucuri,-18.0864,-39.5508,301.12,68,66,5.13,BR,1680979068
244,deputatskiy,69.3,139.9,244.22,100,100,1.18,RU,1680979069
245,nyagan,62.1406,65.3936,273.74,99,100,1.93,RU,1680979069
246,hasaki,35.7333,140.8333,280.53,40,0,9.3,JP,1680978888
247,henties bay,-22.116,14.2845,289.24,88,17,5.58,,1680978860
248,chilca,-12.5211,-76.7372,298.77,74,14,4.26,PE,1680979069
249,meulaboh,4.1363,96.1285,298.31,89,100,1.85,ID,1680978861
250,abu dhabi,24.4667,54.3667,299.23,51,0,3.6,AE,1680978884
251,baruun-urt,46.6806,113.2792,277.35,37,8,1.55,MN,1680979069
252,vardo,70.3705,31.1107,274.14,93,100,6.69,NO,1680978895
253,ilulissat,69.2167,-51.1,266.16,79,75,5.14,GL,1680978900
254,neryungri,56.6709,124.6491,261.19,77,100,4.41,RU,1680979070
255,maloy,61.9353,5.1136,281.0,65,93,3.8,NO,1680979070
256,ilhabela,-23.7781,-45.3581,296.52,90,100,3.48,BR,1680979070
257,mercedes,-34.6515,-59.4307,300.29,34,5,2.46,AR,1680979071
258,faya,18.3851,42.4509,290.44,42,37,3.53,SA,1680979071
259,kannauj,27.0546,79.922,297.62,39,0,2.76,IN,1680979071
260,port augusta,-32.5,137.7667,287.2,76,1,3.18,AU,1680979071
261,podor,16.6527,-14.9587,309.12,34,0,1.03,MR,1680979071
262,tazmalt,36.3868,4.3989,288.44,51,0,2.02,DZ,1680979071
263,barrow,71.2906,-156.7887,241.16,75,0,4.63,US,1680978839
264,manoel urbano,-8.8389,-69.2597,299.59,91,67,1.16,BR,1680979072
265,urumqi,43.801,87.6005,282.68,40,0,2.0,CN,1680979072
266,saskylakh,71.9167,114.0833,253.19,98,100,4.65,RU,1680978858
267,xianyang,34.3378,108.7026,283.73,81,0,2.0,CN,1680979072
268,matara,5.9485,80.5353,298.2,86,62,2.02,LK,1680978942
269,prieska,-29.6641,22.7474,294.15,31,100,7.77,ZA,1680979073
270,araouane,18.9048,-3.5265,303.47,12,68,4.05,ML,1680979073
271,bonavista,48.6499,-53.1147,271.18,80,100,7.04,CA,1680979073
272,bafata,12.1667,-14.75,309.36,13,100,1.17,GW,1680979073
273,tarrafal,15.2833,-23.7667,297.59,74,65,7.28,CV,1680979073
274,vestmanna,62.1564,-7.1664,280.66,81,20,8.23,FO,1680978942
275,anloga,5.7947,0.8973,301.48,79,41,5.29,GH,1680979074
276,arraial do cabo,-22.9661,-42.0278,297.07,94,75,4.12,BR,1680978870
277,guerrero negro,27.9769,-114.0611,292.16,54,12,6.99,MX,1680978918
278,kupang,-10.1667,123.5833,297.47,100,100,2.06,ID,1680978954
279,san jose,37.3394,-121.895,291.8,67,75,6.71,US,1680978911
280,ponta do sol,32.6667,-17.1,293.15,68,100,0.65,PT,1680978856
281,tiksi,71.6872,128.8694,251.81,100,99,2.58,RU,1680978913
